STRAP-IML,nom_en,nom_fr,verbatimIdentification,aphiaID,scientificName,aphiaID_corr,lifeStage,Occurrences_2004-2022,taxonRank,occurenceRemarks,identificationRemarks,taxonomicRemarks,note_CN,name_sugg,STRAP-IML_sugg
1,Vertebrates (Vertebrata),Vertébrés (Vertebrata),Vertebrata,146419,Actinopteri,843664,,10,Class,,unknown bony fishes,,poissons osseux inconnu,Actinopteri,1
13,mud hagfish,myxine de vase,Myxine limosa,271309,Myxine limosa,271309,,1794,Species,,,,était Myxine glutinosa (Europe),Myxine limosa,13
15,Sea Lamprey,Lamproie marine,Petromyzon marinus,101174,Petromyzon marinus,101174,,5,Species,,,,pélagique - rare,Petromyzon marinus,15
20,Greenland Shark,Laimargue atlantique,Somniosus microcephalus,105919,Somniosus microcephalus,105919,,2,Species,,,,1 autre en photos,Somniosus microcephalus,20
24,Spiny Dogfish,Aiguillat commun,Squalus acanthias,105923,Squalus acanthias,105923,,13,Species,,,,pélagique - rare,Squalus acanthias,24
27,Black Dogfish,Aiguillat noir,Centroscyllium fabricii,105906,Centroscyllium fabricii,105906,,421,Species,,,,,Centroscyllium fabricii,27
80,Skate (Rajiformes),Raie (Rajiformes),Rajiformes,10216,Rajiformes,10216,,10,Order,not likely to be used,,,"était des Rajidae pas confirmé en 2004, n'est plus utile",Rajiformes,80
88,Skate (Rajidae),Raie (Rajidae),Rajidae,105711,Rajidae,105711,,1,Family,incertain,,,photo ou pas fiable,Rajidae,88
90,Thorny Skate,Raie épineuse,Amblyraja radiata,105865,Amblyraja radiata,105865,,2579,Species,,,,,Amblyraja radiata,90
91,Smooth Skate,Raie lisse (à queue de velours),Malacoraja senta,158554,Malacoraja senta,158554,,2032,Species,,,,,Malacoraja senta,91
94,Round Skate,Raie ronde,Rajella fyllae,105894,Rajella fyllae,105894,,19,Species,,,,photo et faire sp ou pas fiable,Rajella fyllae,94
100,Winter Skate,Raie tachetée,Leucoraja ocellata,158553,Leucoraja ocellata,158553,,4,Species,2 kinds in region: small and large,often confused with other skate species,,photo et faire sp ou pas fiable,Leucoraja ocellata,100
102,Spinytail Skate,Raie à queue épineuse,Bathyraja spinicauda,105868,Bathyraja spinicauda,105868,,56,Species,,,,,Bathyraja spinicauda,102
150,Atlantic Herring,Hareng atlantique,Clupea harengus,126417,Clupea harengus,126417,,1747,Species,,,,,Clupea harengus,150
152,American Shad,Alose savoureuse,Alosa sapidissima,158670,Alosa sapidissima,158670,,2,Species,juvveniles,,,photo ou pas fiable,Alosa sapidissima,152
168,Bluntsnout Smoothhead,Gymnaste atlantique,Xenodermichthys copei,126714,Xenodermichthys copei,126714,,5,Species,,,,photo ou pas fiable,Xenodermichthys copei,168
187,Capelin (M. villosus),Capelan (M. villosus),Mallotus villosus,126735,Mallotus villosus,126735,,1892,Species,,,,,Mallotus villosus,187
188,Rainbow Smelt,Éperlan arc-en-ciel,Osmerus mordax,126737,Osmerus mordax,126737,,2,Species,,,,photo ou pas fiable,Osmerus mordax,188
193,Atlantic Argentine,Grande argentine,Argentina silus,126715,Argentina silus,126715,,165,Species,,,,,Argentina silus,193
202,Goitre Blacksmelt,Garcette-goitre,Bathylagus euryops,126719,Bathylagus euryops,126719,,1,Species,,,,photo ou pas fiable,Bathylagus euryops,202
205,Bristlemouths  (Gonostomatidae),Cyclothones (Gonostomatidae),Gonostomatidae,125601,Gonostomatidae,125601,,37,Family,likely errors,,,"erreurs en passé, sont tous code 208 ou 278 (PAS Gonostomatidae)",Gonostomatidae,205
208,Veiled Anglemouth,Cyclothone à petites dents,Cyclothone microdon,127286,Cyclothone microdon,127286,,58,Species,,,,photo ou pas fiable,Cyclothone microdon,208
214,Mueller's Pearlside,Margerite perlée,Maurolicus muelleri,127312,Maurolicus muelleri,127312,,2,Species,,,,photo ou pas fiable,Maurolicus muelleri,214
220,Hatchetfishes (Sternoptychidae),Haches (Sternoptychidae),Sternoptychidae,125603,Sternoptychidae,125603,,4,Family,,,,photo ou pas fiable,Sternoptychidae,220
222,Slope Hachetfish (P. clarus),Hache (P. clarus),Polyipnus clarus,158840,Polyipnus clarus,158840,,30,Species,,,,photo ou pas fiable,Polyipnus clarus,222
225,Greater Silver Hatchetfish,Grande hache d'argent,Argyropelecus gigas,127308,Argyropelecus gigas,127308,,5,Species,,,,photo ou pas fiable,Argyropelecus gigas,225
227,Sloane's Viperfish,Chauliode très lumineux,Chauliodus sloani,127338,Chauliodus sloani,127338,,9,Species,,,,photo ou pas fiable,Chauliodus sloani,227
230,Boa Dragonfish,Dragon-boa,Stomias boa boa,234601,Stomias boa,127374,,7,Species,Stomias boa ferox in North Atlantic,,,"est Stomias boa ferox, pas Stomias boa boa ici",Stomias boa ferox,236
234,Straightline Dragonfish,Dragon-saumon à grands yeux,Borostomias antarcticus,127334,Borostomias antarcticus,127334,,1,Species,,,,photo ou pas fiable,Borostomias antarcticus,234
244,Ligthfishes (P. thaeocoryla),Poisson lumineux (P. thaeocoryla),Polymetme thaeocoryla,127301,Polymetme thaeocoryla,127301,,5,Species,,,,photo ou pas fiable,Polymetme thaeocoryla,244
271,Deepwater Fishes,Poissons des profondeurs,Myctophiformes,10309,Myctophiformes,10309,,17,Order,,placeholder name for Notoscopelus kroyeri,,photo et faire Notoscopelus kroyeri ou Lampanyctinae,Myctophiformes,271
272,Lanternfishes (Myctophidae),Poissons-lanterne (Myctophidae),Myctophidae,125498,Myctophidae,125498,,296,Family,placeholder for some kinds,,,photo et conserve ou Myctophinae,Myctophidae,272
273,Common Lanternfish (Notoscopelus sp.),Lanterne (Notoscopelus sp.),Notoscopelus sp.,125831,Notoscopelus,125831,,9,Genus,expect 1 species,often confused with others,,photo et faire sp, , 
275,Kroyer's Lanternfish,Lanterne-voilière nordique,Notoscopelus kroyeri,272728,Notoscopelus kroyeri,272728,,63,Species,,,,photo ou pas fiable,Notoscopelus kroyeri,275
278,Glowingfish,Lanterne à grandes écailles,Neoscopelus macrolepidotus,126634,Neoscopelus macrolepidotus,126634,,28,Species,,,,photo ou pas fiable,Neoscopelus macrolepidotus,278
281,Spotted Lanternfish,Lanterne ponctuée,Myctophum punctatum,126627,Myctophum punctatum,126627,,3,Species,,,,photo et conserve ou Myctophinae,Myctophum punctatum,281
285,Mirror Lanternfish,Lanterne-miroir,Lampadena speculigera,126608,Lampadena speculigera,126608,,7,Species,,,,photo ou pas fiable,Lampadena speculigera,285
290,Glacier Lanternfish,Lanterne glacière,Benthosema glaciale,126580,Benthosema glaciale,126580,,41,Species,,,,photo et conserve ou Myctophinae,Benthosema glaciale,290
304,Lightless Loosejaw,Drague sans lampe,Malacosteus niger,127358,Malacosteus niger,127358,,2,Species,,,,,Malacosteus niger,304
320,White Barracudina,Lussion blanc,Arctozenus risso,126352,Arctozenus risso,126352,,1749,Species,,,,,Arctozenus risso,320
368,Atlantic Snipe Eel,Avocette ruban,Nemichthys scolopaceus,126306,Nemichthys scolopaceus,126306,,19,Species,,,,,Nemichthys scolopaceus,368
369,Stout Sawpalate,Serrivomer trapu,Serrivomer beanii,126319,Serrivomer beanii,126319,,6,Species,,,,,Serrivomer beanii,369
373,Northern Cutthroat Eel,Anguille égorgée bécuée,Synaphobranchus kaupii,126328,Synaphobranchus kaupii,126328,,15,Species,,,,,Synaphobranchus kaupii,373
398,Atlantic Saury (S. saurus),Balaou (S. saurus),Scomberesox saurus saurus,236461,Scomberesox saurus,126392,,27,Species,,,,,Scomberesox saurus,398
422,Sticklebacks (Gasterosteidae),Épinoches (Gasterosteidae),Gasterosteidae,125476,Gasterosteus aculeatus,125476,,1,Species,,,,photo et faire sp, , 
426,Threespine Stickleback,Épinoche à trois épines,Gasterosteus aculeatus,126505,Gasterosteus aculeatus,126505,,103,Species,,,,,Gasterosteus aculeatus,426
430,Codfish (Gadiformes),Gadoide (Gadiformes),Gadiformes,10313,Gadiformes,10313,,1,Order,not likely to be used,,,photo et conserve,Gadiformes,430
436,Codfishes (Gadidae),Gadidés  (Gadidae),Gadidae,125469,Gadidae,125469,,6,Family,small ones,,,photo et conserve,Gadidae,436
437,Atlantic or Greenland cod (Gadus sp.),Morue ou ogac (Gadus sp.),Gadus sp.,125732,Gadus,125732,,1,Genus,small ones,,,photo et conserve,Gadus,437
438,Atlantic Cod (G. morhua),Morue franche (G. morhua),Gadus morhua,126436,Gadus morhua,126436,,1828,Species,,,,,Gadus morhua,438
439,Greenland Cod (G. ogac),"Ogac, morue ogac (G. ogac)",Gadus ogac,254538,Gadus ogac,254538,,118,Species,Arctic-Atlantic variety distinct from Pacific Cod,,under revision,,Gadus ogac,439
440,Blue Whiting,Poutassou,Micromesistius poutassou,126439,Micromesistius poutassou,126439,,1,Species,,,,,Micromesistius poutassou,440
441,Haddock,Aiglefin,Melanogrammus aeglefinus,126437,Melanogrammus aeglefinus,126437,,47,Species,,,,,Melanogrammus aeglefinus,441
442,Atlantic Tomcod,Poulamon atlantique,Microgadus tomcod,158928,Microgadus tomcod,158928,,1,Species,,,,,Microgadus tomcod,442
443,Pollock,Goberge,Pollachius virens,126441,Pollachius virens,126441,,26,Species,,,,,Pollachius virens,443
444,Longfin Hake,Merluche à longues nageoires,Phycis chesteri,158988,Phycis chesteri,158988,,696,Species,,,,,Phycis chesteri,444
447,White Hake,Merluche blanche,Urophycis tenuis,126504,Urophycis tenuis,126504,,1354,Species,,,,,Urophycis tenuis,447
449,Silver Hake,Merlu argenté,Merluccius bilinearis,158962,Merluccius bilinearis,158962,,855,Species,,,,,Merluccius bilinearis,449
451,Arctic Cod,Saïda franc (Morue arctique),Boreogadus saida,126433,Boreogadus saida,126433,,399,Species,,,,,Boreogadus saida,451
453,Threebeard Rocklings  (Gaidropsarus sp.),Mustèles (Gaidropsarus sp.),Gaidropsarus sp.,125743,Gaidropsarus,125743,,14,Genus,likely errors,,,photo et faire Enchelyopus cimbrius, , 
454,Threebeard Rockling,Mustèle arctique à trois barbillons,Gaidropsarus ensis,126453,Gaidropsarus ensis,126453,,8,Species,,,,photo et confirme,Gaidropsarus ensis,454
455,"Silver Rockling, Arctic Threebearded Rockling",Mustèle argentée,Gaidropsarus argentatus,126451,Gaidropsarus argentatus,126451,,13,Species,,,,photo et faire Enchelyopus cimbrius, , 
461,Fourbeard Rockling,Motelle à quatre barbillons,Enchelyopus cimbrius,126450,Enchelyopus cimbrius,126450,,2083,Species,,,,,Enchelyopus cimbrius,461
471,Grenadier (Macrouridae),Grenadier (Macrouridae),Macrouridae,125471,Macrouridae,125471,,9,Family,incertain,,,photo et conserve,Macrouridae,471
478,Common Grenadier,Grenadier du grand Banc,Nezumia bairdii,183289,Nezumia bairdii,183289,,1715,Species,,,,,Nezumia bairdii,478
484,American Straptail Grenadier,Queue-de-rat d'Amérique,Malacocephalus occidentalis,158741,Malacocephalus occidentalis,158741,,2,Species,,,,photo et conserve,Malacocephalus occidentalis,484
527,Rosy Soldierfish,Poisson-montre,Hoplostethus mediterraneus mediterraneus,159409,Hoplostethus mediterraneus,159409,,3,Species,,,,,Hoplostethus mediterraneus,527
572,Atlantic Mackerel (S. scombrus),Maquereau bleu (S. scombrus),Scomber scombrus,127023,Scomber scombrus,127023,,322,Species,,,,,Scomber scombrus,572
614,Greateyes (Epigonus sp.),Grands yeux (Epigonus sp.),Epigonus sp.,125967,Epigonus,125967,,1,Genus,when damaged,,,photo et conserve, , 
618,Big Eye,Cardinal (E. pandionis),Epigonus pandionis,159706,Epigonus pandionis,159706,,9,Species,,,,,Epigonus pandionis,618
694,Northern Sand Lance,Lançon du nord,Ammodytes dubius,151520,Ammodytes,125909,,2,Genus,,,,,,
695,American Sand Lance,Lançon d'Amérique,Ammodytes americanus,159587,Ammodytes,125909,,7,Genus,,,,,,
696,Sand Lances (Ammodytes sp.),Lançons (Ammodytes sp.),Ammodytes sp.,125909,Ammodytes,125909,,295,Genus,,3 kinds from genetics,may by 2 or 3 from genetics,,Ammodytes,696
699,Northern Wolffish,Loup à tÍte large,Anarhichas denticulatus,126757,Anarhichas denticulatus,126757,,1,Species,,,,,Anarhichas denticulatus,699
700,Atlantic Wolffish,Loup atlantique,Anarhichas lupus,126758,Anarhichas lupus,126758,,644,Species,,,,,Anarhichas lupus,700
701,Spotted Wolffish,Loup tacheté,Anarhichas minor,126759,Anarhichas minor,126759,,159,Species,,,,,Anarhichas minor,701
702,Wolffishes (Anarhichas sp.),Loups (Anarhichas sp.),Anarhichas sp.,125912,Anarhichas,125912,,1,Genus,small ones,,,photo et conserve,Anarhichas,702
705,Rock Gunnel,Sigouine de roche,Pholis gunnellus,126996,Pholis gunnellus,126996,,1,Species,,,,,Pholis gunnellus,705
709,"Shannies, Blennies  (Stichaeidae)","Lompénies, Stichées, Ulvaires (Stichaeidae)",Stichaeidae,125566,Stichaeidae,125566,,1,Family,likely Lumpenidae,,,présume est pour Lumpenidae (nouveau),Stichaeidae,709
710,Arctic Shanny,Stichée arctique,Stichaeus punctatus,159819,Stichaeus punctatus,159819,,25,Species,,,,,Stichaeus punctatus,710
711,Fourline Snakeblenny,Quatre-lignes atlantique,Eumesogrammus praecisus,159817,Eumesogrammus praecisus,159817,,509,Species,,,,,Eumesogrammus praecisus,711
715,Slender Eelblenny,Lompénie élancée,Lumpenus fabricii,127073,Lumpenus fabricii,127073,,3,Species,,,,,Lumpenus fabricii,715
716,Snakeblenny,Lompénie-serpent,Lumpenus lampretaeformis,154675,Lumpenus lampretaeformis,154675,,612,Species,,,,,Lumpenus lampretaeformis,716
717,Daubed Shanny,Lompénie tachetée,Leptoclinus maculatus,127072,Leptoclinus maculatus,127072,,931,Species,,,,,Leptoclinus maculatus,717
718,Stout Eelblenny,Lompénie naine,Anisarchus medius,127070,Anisarchus medius,127070,,31,Species,,,,,Anisarchus medius,718
721,Wrymouth,Terrassier tacheté,Cryptacanthodes maculatus,159675,Cryptacanthodes maculatus,159675,,145,Species,,,,,Cryptacanthodes maculatus,721
725,"Eelpouts, Pouts, Wolf Eels (Zoarcidae)","Lycodes, Loquettes, Molasses (Zoarcidae)",Zoarcidae,125575,Zoarcidae,125575,,5,Family,likely errors,,,photo et conserve,Zoarcidae,725
726,Eelpouts (Lycodes sp.),Lycodes (Lycodes sp.),Lycodes sp.,126104,Lycodes,126104,,54,Genus,,,,photo et conserve,Lycodes,726
727,Esmark's Eelpout,Lycode d'Esmark,Lycodes esmarkii,127103,Lycodes esmarkii,127103,,83,Species,,,,,Lycodes esmarkii,727
728,Newfoundland Eelpout,Lycode du Labrador,Lycodes lavalaei,127107,Lycodes lavalaei,127107,,482,Species,,,,,Lycodes lavalaei,728
729,Arctic Eelpout,Lycode arctique,Lycodes reticulatus,127112,Lycodes lavalaei,127107,,1,Species,,,,, , 
730,Vahl's Eelpout,Lycode à carreaux,Lycodes vahlii,127118,Lycodes vahlii,127118,,798,Species,,,,,Lycodes vahlii,730
733,Canadian Eelpout (L. polaris),Lycode polaire (L. polaris),Lycodes polaris,127111,Lycodes polaris,127111,,14,Species,,,,,Lycodes polaris,733
734,Atlantic Eelpout,Lycode atlantique,Lycodes terraenovae,127117,Lycodes terraenovae,127117,,78,Species,,,,,Lycodes terraenovae,734
745,Atlantic Soft Pout,Molasse atlantique,Melanostigma atlanticum,127120,Melanostigma atlanticum,127120,,982,Species,,,,nom est mollasse pas molasse,Melanostigma atlanticum,745
746,Fish Doctor,Unernak caméléon,Gymnelus viridis,127096,Gymnelus viridis,127096,,125,Species,,,,,Gymnelus viridis,746
747,Wolf Eels (Lycenchelys sp.),Lycodes (Lycenchelys sp.),Lycenchelys sp.,126103,Lycenchelys,126103,,3,Genus,,,,photo et conserve, , 
750,Common Wolf Eel,Lycode commune,Lycenchelys paxillus,159257,Lycenchelys paxillus,159257,,43,Species,,,,,Lycenchelys paxillus,750
752,Wolf Eelpout,Lycode à tÍte longue,Lycenchelys verrillii,159258,Lycenchelys verrillii,159258,,171,Species,,,,,Lycenchelys verrillii,752
783,Butterfish,Stromatée à fossette,Peprilus triacanthus,159828,Peprilus triacanthus,159828,,1,Species,,,,,Peprilus triacanthus,783
792,Rockfishes (Sebastes sp.),Sébastes (Sebastes sp.),Sebastes sp.,126175,Sebastes,126175,,3957,Genus,,,,présume fasciatus/mentella,Sebastes,792
793,Golden Redfish,Sébaste orangé,Sebastes norvegicus,151324,Sebastes norvegicus,151324,,7,Species,,,,,Sebastes norvegicus,793
797,Blackbelly Rosefish,Chèvre impériale,Helicolenus dactylopterus,127251,Helicolenus dactylopterus,127251,,11,Species,,,,,Helicolenus dactylopterus,797
808,Sculpins (Cottidae),Chaboisseaux (Cottidae),Cottidae,125589,Cottidae,125589,,8,Family,small ones,,family is in revision,photo et conserve; note: famille est en révision,Cottidae,808
809,Sea Sculpin,Hémitriptère atlantique,Hemitripterus americanus,159518,Hemitripterus americanus,159518,,72,Species,,,,,Hemitripterus americanus,809
810,Hookear Sculpins (Artediellus sp.),Hameçons (Artediellus sp.),Artediellus sp.,126147,Artediellus,126147,,110,Genus,,,,,Artediellus,810
811,Atlantic Hookear Sculpin,Hameçon atlantique,Artediellus atlanticus,127193,Artediellus atlanticus,127193,,731,Species,,,,,Artediellus atlanticus,811
812,Arctic Hookear Sculpin,Hameçon neigeux,Artediellus uncinatus,127195,Artediellus uncinatus,127195,,269,Species,,,,,Artediellus uncinatus,812
813,Mailed Sculpins,Faux-trigles,Triglops sp.,126154,Triglops,126154,,13,Genus,,,,photo et conserve,Triglops,813
814,Moustache Sculpin,Faux-trigle armé,Triglops murrayi,127205,Triglops murrayi,127205,,949,Species,,,,,Triglops murrayi,814
815,Bigeye Sculpin,Faux-trigle à grands yeux,Triglops nybelini,127206,Triglops nybelini,127206,,15,Species,,,,photo et conserve,Triglops nybelini,815
816,Ribbed Sculpin,Faux-trigle bardé,Triglops pingelii,127207,Triglops murrayi,127205,,1,Species,,,,, , 
817,Sculpins (Myoxocephalus sp.),Chaboisseaux (Myoxocephalus sp.),Myoxocephalus sp.,126152,Myoxocephalus,126152,,7,Species,,,,photo et conserve,Myoxocephalus,817
818,"Little Sculpin, Grubby",Chaboisseau bronzé,Myoxocephalus aenaeus,159519,Myoxocephalus aenaeus,159519,,3,Species,,,,photo et conserve,Myoxocephalus aenaeus,818
819,Shorthorn Sculpin,Chaboisseau à épines courtes,Myoxocephalus scorpius,127203,Myoxocephalus scorpius,127203,,563,Species,,,,,Myoxocephalus scorpius,819
820,"Longhorn Sculpin, Gray Sculpin",Chaboisseau à dix-huit-épines,Myoxocephalus octodecemspinosus,159520,Myoxocephalus octodecemspinosus,159520,,15,Species,,,,,Myoxocephalus octodecemspinosus,820
823,Arctic Staghorn Sculpin,Tricorne arctique,Gymnocanthus tricuspis,127198,Gymnocanthus tricuspis,127198,,532,Species,,,,,Gymnocanthus tricuspis,823
829,Polar Sculpin,Cotte polaire,Cottunculus microps,127235,Cottunculus microps,127235,,24,Species,,,,,Cottunculus microps,829
830,Spatulate and Twohorn Sculpin (Icelus sp.),Icèles (Icelus sp.),Icelus sp.,126150,Icelus,126150,,26,Genus,,,,,Icelus,830
831,Twohorn Sculpin,Icèle à deux cornes,Icelus bicornis,127199,Icelus bicornis,127199,,101,Species,,,,,Icelus bicornis,831
832,Spatulate Sculpin,Icèle spatulée,Icelus spatula,127200,Icelus spatula,127200,,177,Species,,,,,Icelus spatula,832
836,Atlantic Poacher,Agone atlantique,Leptagonus decagonus,127191,Leptagonus decagonus,127191,,478,Species,,,,,Leptagonus decagonus,836
837,Arctic Alligatorfish,Poisson-alligator arctique,Aspidophoroides olrikii,309268,Aspidophoroides olrikii,309268,,54,Species,,,,,Aspidophoroides olrikii,837
838,Alligatorfish,Poisson-alligator atlantique,Aspidophoroides monopterygius,159459,Aspidophoroides monopterygius,159459,,811,Species,,,,,Aspidophoroides monopterygius,838
844,Atlantic Spiny Lumpsucker (E. spinosus),Petite poule de mer atlantique (E. spinosus),Eumicrotremus spinosus,127217,Eumicrotremus terraenovae,159521,,50,Species,,,,,Eumicrotremus terraenovae,844
845,Atlantic Spiny Lumpsucker (E. variabilis),Petite poule de mer atlantique (E. variabilis),Eumicrotremus spinosus variabilis,1552956,Eumicrotremus spinosus variabilis,1552956,,4,subspecies,placeholder name,pale and smooth kind,uncertain if a separate taxon or type,photo et conserve,Eumicrotremus spinosus variabilis,845
847,Newfoundland Spiny Lumpsucker,Petite poule Terre-Neuve,Eumicrotremus terraenovae,159521,Eumicrotremus terraenovae,159521,,474,Species,,,,,Eumicrotremus terraenovae,847
849,Lumpfish,Grosse poule de mer,Cyclopterus lumpus,127214,Cyclopterus lumpus,127214,,540,Species,,,,,Cyclopterus lumpus,849
853,Snailfishes (Liparidae),Limaces (Liparidae),Liparidae,234519,Liparidae,234519,,6,Family,small ones,,,photo et conserve,Liparidae,853
854,Snailfishes (Paraliparis sp.),Limaces (Paraliparis sp.),Paraliparis sp.,126161,Paraliparis,126161,,5,Genus,,,,photo et conserve,Paraliparis,854
856,"Blacksnout Seasnail, Blacksnout Snailfish",Limace à museau noir,Paraliparis copei,159530,Paraliparis copei,159530,,89,Species,,,,,Paraliparis copei,856
857,Snailfishes (Liparis sp.),Limaces (Liparis sp.),Liparis sp.,126160,Liparis,126160,,9,Genus,,,,photo et conserve,Liparis,857
862,Variegated Snailfish,Limace marbrée,Liparis gibbus,159526,Liparis bathyarcticus,867958,,11,Species,,,,, , 
865,Sea Tadpole,Petite limace de mer,Careproctus reinhardti,127212,Careproctus reinhardti,127212,,174,Species,,,,,Careproctus reinhardti,865
867,Gulf Snailfish,Limace de Cohen,Liparis coheni,159525,Liparis,126160,,1,Genus,,,,photo et conserve, , 
868,Nebulous Snailfish,Limace nébuleuse,Liparis bathyarcticus,867958,Liparis bathyarcticus,867958,,232,Species,,,,,Liparis bathyarcticus,868
874,Lowfin Snailfish,Limace ardente,Paraliparis calidus,159529,Paraliparis calidus,159529,,114,Species,,,,,Paraliparis calidus,874
887,"Flounders, Halibuts and Plaices","Flétans, limandes et plies",Pleuronectidae,125579,Pleuronectidae,125579,,2,Family,small ones,,,photo et conserve,Pleuronectidae,887
889,American Plaice,Plie canadienne,Hippoglossoides platessoides,127137,Hippoglossoides platessoides,127137,,2706,Species,,,,,Hippoglossoides platessoides,889
890,Witch Flounder,Plie grise,Glyptocephalus cynoglossus,127136,Glyptocephalus cynoglossus,127136,,2494,Species,,,,,Glyptocephalus cynoglossus,890
